Trial_ID,Total_Score,1_Knee_Flexion_IC_L,1_Knee_Flexion_IC_R,1_Knee_Flexion_IC_T,2_Hip_Flexion_IC_L,2_Hip_Flexion_IC_R,2_Hip_Flexion_IC_T,3_Trunk_Flexion_IC_T,4_Ankle_Plantar_Flexion_IC_L,4_Ankle_Plantar_Flexion_IC_R,4_Ankle_Plantar_Flexion_IC_T,5_Asymmetrical_Timing,6_Asymmetrical_HeelToe_ToeHeel,7_Lateral_Trunk_Flexion_IC_L,7_Lateral_Trunk_Flexion_IC_R,7_Lateral_Trunk_Flexion_IC_T,8_Medial_Knee_IC_L,8_Medial_Knee_IC_R,8_Medial_Knee_IC_T,9_Stance_Wide_IC_L,9_Stance_Wide_IC_R,9_Stance_Wide_IC_T,10_Stance_Narrow_IC_L,10_Stance_Narrow_IC_R,10_Stance_Narrow_IC_T,11_IR_Foot_IC_L,11_IR_Foot_IC_R,11_IR_Foot_IC_T,12_ER_Foot_IC_L,12_ER_Foot_IC_R,12_ER_Foot_IC_T,13_Knee_Flexion_Displacement_L,13_Knee_Flexion_Displacement_R,13_Knee_Flexion_Displacement_T,14_Hip_Flexion_Displacement_L,14_Hip_Flexion_Displacement_R,14_Hip_Flexion_Displacement_T,15_Trunk_Flexion_Max_T,16_Medial_Knee_Max_L,16_Medial_Knee_Max_R,16_Medial_Knee_Max_T,17_Asymmetrical_Load_T,18_Joint_Displacement_T,19_Overall_Impression_T,1_Knee_Flexion_IC_L_deg,1_Knee_Flexion_IC_R_deg,2_Hip_Flexion_IC_L_deg,2_Hip_Flexion_IC_R_deg,3_Trunk_Flexion_IC_deg,7_Lateral_Trunk_Flexion_IC_deg,8_Medial_Knee_IC_L_deg,8_Medial_Knee_IC_R_deg,9_Stance_Hip_abd_IC_L_deg,9_Stance_Hip_abd_IC_R_deg,11_IR_Foot_IC_L_deg,11_IR_Foot_IC_R_deg,12_ER_Foot_IC_L_deg,12_ER_Foot_IC_R_deg,13_Knee_Flexion_Displacement_L_deg,13_Knee_Flexion_Displacement_R_deg,14_Hip_Flexion_Displacement_L_deg,14_Hip_Flexion_Displacement_R_deg,15_Trunk_Flexion_Max_deg,16_Medial_Knee_Max_L_deg,16_Medial_Knee_Max_R_deg,17_Asymmetrical_Load_L_deg,17_Asymmetrical_Load_R_deg
s2_less_bw_t1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34.66251285548163,25.84623995148208,36.83843700195698,32.4093212008702,-20.781305166899703,4.98451763130276,-7.722072950784665,-5.050213155391378,-3.688533559285321,-5.485097212589038,-4.68692954907978,-14.561683522369226,-4.68692954907978,-14.561683522369226,92.65991534988088,94.23528228016288,74.99555210196525,76.23130531002714,-46.9745635078024,-0.2552053906044018,4.672409501129839,-3.334266913368299,-1.0157372919140528
s2_less_bw_t2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37.24300300664915,34.60241285939638,38.60932007409748,40.283494659356265,-24.913676979083,3.9088074093663714,-4.032777949326879,-1.2891445305768672,-4.450493463652713,-3.5050105573538706,-4.138482650755781,-17.525569010340185,-4.138482650755781,-17.525569010340185,95.78183339988333,94.41539318690954,83.00693355629267,82.64339541198613,-46.35196902093819,2.408328039473806,3.2571222742177843,-4.472216592139337,-1.807082391995744
s2_less_bw_t3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34.55471103801178,27.07605872512955,38.98015956051192,35.39339267081882,-22.44439683350745,2.238559679619853,-8.221196668300628,-2.7503084649876985,-7.015376899834089,-5.139587326594174,-7.333714366817263,-17.747153388307076,-7.333714366817263,-17.747153388307076,91.57355191993857,94.7461485965716,75.89620085050365,75.1335815734422,-50.848809324235965,0.2197354862562531,5.798689380975752,-4.974925125109648,-2.0227721029848493
s2_less_bw_t4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45.6621602804707,35.09279587999813,43.57803510374731,37.80608407709355,-25.47795831421192,2.671398514191858,0.6740325910541738,3.0419716906490244,-3.523265308071728,-5.30770919912336,-8.882659061751827,-18.891061745429525,-8.882659061751827,-18.891061745429525,87.25516479945793,90.2988187096618,75.61682910122114,76.6158703367135,-45.9487073563293,-0.4169545311558304,5.536772514718759,-4.3039811579726655,-6.629211922182446
s2_less_bw_t5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,40.08950222200771,38.12553456386911,34.88763376327865,35.55815419813147,-22.87185522542535,0.6540498063892308,-1.37819030780927,0.9914909881498948,-6.103600475252943,-1.4339062514471808,-12.023321377188658,-18.25686325081776,-12.023321377188658,-18.25686325081776,93.85198863048812,93.41390859840782,68.7674028661098,67.42782607474159,-47.304746738569584,6.35228423326965,8.734299062981314,-0.7693506454005824,4.058780196931843
s2_less_bw_t6,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,42.92561096818967,29.71161287492418,45.88426885876508,40.05303158715991,-23.70506473297067,1.7761526228587974,-5.37027744060107,-7.311590530183192,-8.43411961490134,-3.0225560197378005,-10.425278955284483,-22.826207741344582,-10.425278955284483,-22.826207741344582,91.65182788692698,92.95421645084974,65.84790258322045,67.36231971332987,-45.30169365503012,0.9690215405956892,3.486708194656626,-3.6853498449828233,-4.903870483678087
s2_less_bw_t7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,36.621259989686486,31.48367977328483,36.84024502550014,33.48600975881828,-22.093534305329992,3.417421071744404,0.4772831270164443,-0.1908353346562954,-3.4907432776983627,-5.372788812657925,-6.455486022370152,-13.408666305669888,-6.455486022370152,-13.408666305669888,97.34799700626466,95.84866466175814,74.4902955387494,74.94813978098314,-55.63377792868896,2.3230692443455743,3.831353573218948,1.6100427460197642,-7.915709741527811
s2_less_vest_t1,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,26.85071395778909,25.82374351659744,31.17922622914974,29.74090058504709,-24.999651207588578,1.5597828117460382,-6.870764933416626,-2.7362668839160467,-4.803715253522224,-5.583517844208674,-8.983810440167284,-16.827527989512124,-8.983810440167284,-16.827527989512124,78.19462770470459,80.9065762663051,59.885022314213465,63.21422540172075,-51.97528317576434,-1.4524170184549088,4.846034529005276,-2.580711450951323,-7.401927163063348
s2_less_vest_t2,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,27.045849232056508,19.761660627224405,28.152110949724257,24.28999904704142,-22.80334226766142,-2.8564270022986937,-2.5522110320510736,-1.968531883721036,-4.60071401123071,-6.13457523529443,-4.384893038467069,-8.561900931329275,-4.384893038467069,-8.561900931329275,78.73589192502826,80.46063504771516,60.247461306642656,61.96487675786771,-44.28279455765068,-0.064002213292355,8.928394368948561,-6.1918733029464885,-2.783306962238957
s2_less_vest_t3,5,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,34.99559602018641,24.25900086810397,33.98865639864931,29.64149615998861,-23.41636198876408,0.4827478606571914,-3.979483963416439,-1.9281545768791009,-4.779482364317958,-6.129654841898207,-10.611239815708284,-15.37994671406612,-10.611239815708284,-15.37994671406612,80.0747939326503,81.36488827778257,64.04106562790535,65.39569774336363,-48.99510138242813,2.411654161185953,1.5169692140226791,-1.0034759659470427,-11.011388910326549
